Filename                        None            Some            Many             Few       Alternate      None Time       Some Time       Many Time        Few Time  Alternate Time 
increase-n20-2.txt                -1            True               5               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n20-3.txt                -1           False              -1              -1           False           0.0s         0.0001s         0.0001s            0.0s            0.0s 
increase-n50-1.txt                -1           False              -1              -1           False        0.0002s         0.0003s         0.0003s         0.0002s         0.0002s 
increase-n50-2.txt                -1            True               4               1            True        0.0001s         0.0002s         0.0002s         0.0002s         0.0002s 
increase-n50-3.txt                -1            True               3               1            True        0.0002s         0.0002s         0.0002s         0.0002s         0.0002s 
increase-n500-1.txt               -1            True               6               2            True        0.0126s         0.0197s         0.0186s         0.0188s         0.0157s 
increase-n500-2.txt               -1            True               5               1            True        0.0132s         0.0198s         0.0189s         0.0188s         0.0162s 
increase-n500-3.txt               -1            True               7               1            True        0.0131s         0.0223s         0.0215s         0.0206s         0.0158s 
increase-n8-1.txt                 -1            True               2               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n8-2.txt                 -1            True               1               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n8-3.txt                  1            True               1               0            True           0.0s            0.0s            0.0s            0.0s            0.0s 
rusty-1-17.txt                    10         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
rusty-1-2000.txt                  -1         NP hard         NP hard              -1           False        0.0024s            0.0s            0.0s         0.0023s         0.0026s 
rusty-1-2500.txt                  -1         NP hard         NP hard              -1           False        0.0032s            0.0s            0.0s         0.0033s         0.0036s 
rusty-1-3000.txt                  14         NP hard         NP hard               0           False        0.0046s            0.0s            0.0s         0.0049s         0.0045s 
rusty-1-3500.txt                  14         NP hard         NP hard               0           False        0.0057s            0.0s            0.0s         0.0058s         0.0056s 
rusty-1-4000.txt                  13         NP hard         NP hard               0           False         0.007s            0.0s            0.0s          0.008s         0.0073s 
rusty-1-4500.txt                   7         NP hard         NP hard               0           False        0.0088s            0.0s            0.0s         0.0094s         0.0093s 
rusty-1-5000.txt                   7         NP hard         NP hard               0           False          0.01s            0.0s            0.0s          0.011s           0.01s 
rusty-1-5757.txt                   7         NP hard         NP hard               0           False        0.0144s            0.0s            0.0s         0.0192s         0.0137s 
rusty-2-2000.txt                   5         NP hard         NP hard               0           False        0.0127s            0.0s            0.0s         0.0167s         0.0122s 
rusty-2-2500.txt                   4         NP hard         NP hard               0           False        0.0199s            0.0s            0.0s          0.023s         0.0183s 
rusty-2-3000.txt                   4         NP hard         NP hard               0           False        0.0268s            0.0s            0.0s         0.0329s          0.025s 
rusty-2-3500.txt                   4         NP hard         NP hard               0           False        0.0361s            0.0s            0.0s         0.0412s         0.0321s 
rusty-2-4000.txt                   4         NP hard         NP hard               0           False        0.0427s            0.0s            0.0s         0.0512s         0.0407s 
rusty-2-4500.txt                   4         NP hard         NP hard               0           False        0.0574s            0.0s            0.0s         0.0628s         0.0506s 
rusty-2-5000.txt                   4         NP hard         NP hard               0           False        0.0646s            0.0s            0.0s         0.0751s         0.0618s 
rusty-2-5757.txt                   4         NP hard         NP hard               0           False        0.0866s            0.0s            0.0s         0.1183s         0.0811s 
ski-illustration.txt               8            True               1               0           False        0.0001s            0.0s            0.0s            0.0s            0.0s 
ski-level10-1.txt                 -1           False              -1              -1           False        0.0001s         0.0001s         0.0001s         0.0001s         0.0001s 
ski-level10-2.txt                 -1            True               4               1           False        0.0001s         0.0001s         0.0001s         0.0001s         0.0001s 
ski-level10-3.txt                 -1            True               7               4           False        0.0001s         0.0001s         0.0001s         0.0001s         0.0001s 
ski-level20-1.txt                 -1            True              10               3           False        0.0002s         0.0002s         0.0002s         0.0002s         0.0003s 
ski-level20-2.txt                 -1            True              14               9           False        0.0002s         0.0002s         0.0002s         0.0002s         0.0003s 
ski-level20-3.txt                 -1           False              -1              -1           False        0.0002s         0.0002s         0.0002s         0.0002s         0.0003s 
ski-level3-1.txt                  -1            True               3               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
ski-level3-2.txt                   5            True               1               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
ski-level3-3.txt                   5            True               1               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
ski-level5-1.txt                  -1            True               3               1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
ski-level5-2.txt                  -1            True               2               1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
ski-level5-3.txt                   7           False               0               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
smallworld-10-0.txt                6         NP hard         NP hard               0           False        0.0002s            0.0s            0.0s         0.0002s         0.0002s 
smallworld-10-1.txt                8         NP hard         NP hard               0            True        0.0002s            0.0s            0.0s         0.0002s         0.0002s 
